feature_path,transcript
../features\432.npy,please
../features\433.npy,please
../features\434.npy,good
../features\435.npy,good
../features\436.npy,good
../features\437.npy,good
../features\438.npy,good
../features\439.npy,good
../features\440.npy,good
../features\441.npy,morning
../features\442.npy,morning
../features\443.npy,morning
../features\444.npy,morning
../features\445.npy,morning
../features\446.npy,morning
../features\447.npy,morning
../features\448.npy,yes
../features\449.npy,yes
../features\450.npy,yes
../features\451.npy,yes
../features\452.npy,yes
../features\453.npy,yes
../features\454.npy,yes
../features\455.npy,no
../features\456.npy,no
../features\457.npy,no
../features\458.npy,no
../features\459.npy,no
../features\460.npy,no
../features\461.npy,no
../features\462.npy,hello
../features\463.npy,hello
../features\464.npy,hello
../features\465.npy,hello
../features\466.npy,hello
../features\467.npy,hello
../features\468.npy,hello
../features\469.npy,thank
../features\470.npy,thank
../features\471.npy,thank
../features\472.npy,thank
../features\473.npy,thank
../features\474.npy,thank
../features\475.npy,thank
../features\476.npy,you
../features\477.npy,you
../features\478.npy,you
../features\479.npy,you
../features\480.npy,you
../features\481.npy,you
../features\482.npy,you
../features\483.npy,please
../features\484.npy,please
../features\485.npy,please
../features\486.npy,please
../features\487.npy,please
../features\488.npy,please
../features\489.npy,please
../features\490.npy,good
../features\491.npy,good
../features\492.npy,good
../features\493.npy,good
../features\494.npy,good
../features\495.npy,good
../features\496.npy,good
../features\497.npy,morning
../features\498.npy,morning
../features\499.npy,morning
../features\500.npy,morning
../features\501.npy,morning
../features\502.npy,morning
../features\503.npy,morning
../features\504.npy,yes
../features\505.npy,yes
../features\506.npy,yes
../features\507.npy,yes
../features\508.npy,yes
../features\509.npy,yes
../features\510.npy,yes
../features\511.npy,no
../features\512.npy,no
../features\513.npy,no
../features\514.npy,no
../features\515.npy,no
../features\516.npy,no
../features\517.npy,no
../features\518.npy,hello
../features\519.npy,hello
../features\520.npy,hello
../features\521.npy,hello
../features\522.npy,hello
../features\523.npy,hello
../features\524.npy,hello
../features\525.npy,thank
../features\526.npy,thank
../features\527.npy,thank
../features\528.npy,thank
../features\529.npy,thank
../features\530.npy,thank
../features\531.npy,thank
../features\532.npy,you
../features\533.npy,you
../features\534.npy,you
../features\535.npy,you
../features\536.npy,you
../features\537.npy,you
../features\538.npy,you
../features\539.npy,please
../features\540.npy,please
../features\541.npy,please
../features\542.npy,please
../features\543.npy,please
../features\544.npy,please
../features\545.npy,please
../features\546.npy,good
../features\547.npy,good
../features\548.npy,good
../features\549.npy,good
../features\550.npy,good
../features\551.npy,good
../features\552.npy,good
../features\553.npy,morning
../features\554.npy,morning
../features\555.npy,morning
../features\556.npy,morning
../features\557.npy,morning
../features\558.npy,morning
../features\559.npy,morning
../features\560.npy,yes
../features\561.npy,yes
../features\562.npy,yes
../features\563.npy,yes
../features\564.npy,yes
../features\565.npy,yes
../features\566.npy,yes
../features\567.npy,no
../features\568.npy,no
../features\569.npy,no
../features\570.npy,no
../features\571.npy,no
../features\572.npy,no
../features\573.npy,no
../features\574.npy,hello
../features\575.npy,hello
../features\576.npy,hello
../features\577.npy,hello
../features\578.npy,hello
../features\579.npy,hello
../features\580.npy,hello
../features\581.npy,thank
../features\582.npy,thank
../features\583.npy,thank
../features\584.npy,thank
../features\585.npy,thank
../features\586.npy,thank
../features\587.npy,thank
../features\588.npy,you
../features\589.npy,you
../features\590.npy,you
../features\591.npy,you
../features\592.npy,you
../features\593.npy,you
../features\594.npy,you
../features\595.npy,please
../features\596.npy,please
../features\597.npy,please
../features\598.npy,please
../features\599.npy,please
../features\600.npy,please
../features\601.npy,please
../features\602.npy,good
../features\603.npy,good
../features\604.npy,good
../features\605.npy,good
../features\606.npy,good
../features\607.npy,good
../features\608.npy,good
../features\609.npy,morning
../features\610.npy,morning
../features\611.npy,morning
../features\612.npy,morning
../features\613.npy,morning
../features\614.npy,morning
../features\615.npy,morning
../features\616.npy,yes
../features\617.npy,yes
../features\618.npy,yes
../features\619.npy,yes
../features\620.npy,no
../features\621.npy,no
../features\622.npy,no
../features\623.npy,no
../features\624.npy,hello
../features\625.npy,hello
../features\626.npy,hello
../features\627.npy,hello
../features\628.npy,thank
../features\629.npy,thank
../features\630.npy,thank
../features\631.npy,thank
../features\632.npy,you
../features\633.npy,you
../features\634.npy,you
../features\635.npy,you
../features\636.npy,please
../features\637.npy,please
../features\638.npy,please
../features\639.npy,please
../features\640.npy,good
../features\641.npy,good
../features\642.npy,good
../features\643.npy,good
../features\644.npy,morning
../features\645.npy,morning
../features\646.npy,morning
../features\647.npy,morning
../features\648.npy,yes
../features\649.npy,yes
../features\650.npy,yes
../features\651.npy,yes
../features\652.npy,no
../features\653.npy,no
../features\654.npy,no
../features\655.npy,no
../features\656.npy,hello
../features\657.npy,hello
../features\658.npy,hello
../features\659.npy,hello
../features\660.npy,thank
../features\661.npy,thank
../features\662.npy,thank
../features\663.npy,thank
../features\664.npy,you
../features\665.npy,you
../features\666.npy,you
../features\667.npy,you
../features\668.npy,please
../features\669.npy,please
../features\670.npy,please
../features\671.npy,please
../features\672.npy,good
../features\673.npy,good
../features\674.npy,good
../features\675.npy,good
../features\676.npy,morning
../features\677.npy,morning
../features\678.npy,morning
../features\679.npy,morning
../features\680.npy,yes
../features\681.npy,yes
../features\682.npy,yes
../features\683.npy,no
../features\684.npy,no
../features\685.npy,no
../features\686.npy,hello
../features\687.npy,hello
../features\688.npy,hello
../features\689.npy,thank
../features\690.npy,thank
../features\691.npy,thank
../features\692.npy,you
../features\693.npy,you
../features\694.npy,you
../features\695.npy,please
../features\696.npy,please
../features\697.npy,please
../features\698.npy,good
../features\699.npy,good
../features\700.npy,good
../features\701.npy,morning
../features\702.npy,morning
../features\703.npy,morning
../features\704.npy,yes
../features\705.npy,yes
../features\706.npy,yes
../features\707.npy,yes
../features\708.npy,yes
../features\709.npy,no
../features\710.npy,no
../features\711.npy,no
../features\712.npy,no
../features\713.npy,no
../features\714.npy,hello
../features\715.npy,hello
../features\716.npy,hello
../features\717.npy,hello
../features\718.npy,hello
../features\719.npy,thank
../features\720.npy,thank
../features\721.npy,thank
../features\722.npy,thank
../features\723.npy,thank
../features\724.npy,you
../features\725.npy,you
../features\726.npy,you
../features\727.npy,you
../features\728.npy,you
../features\729.npy,please
../features\730.npy,please
../features\731.npy,please
../features\732.npy,please
../features\733.npy,please
../features\734.npy,good
../features\735.npy,good
../features\736.npy,good
../features\737.npy,good
../features\738.npy,good
../features\739.npy,morning
../features\740.npy,morning
../features\741.npy,morning
../features\742.npy,morning
../features\743.npy,morning
../features\744.npy,yes
../features\745.npy,yes
../features\746.npy,yes
../features\747.npy,yes
../features\748.npy,yes
../features\749.npy,no
../features\750.npy,no
../features\751.npy,no
../features\752.npy,no
../features\753.npy,no
../features\754.npy,hello
../features\755.npy,hello
../features\756.npy,hello
../features\757.npy,hello
../features\758.npy,hello
../features\759.npy,thank
../features\760.npy,thank
../features\761.npy,thank
../features\762.npy,thank
../features\763.npy,thank
../features\764.npy,you
../features\765.npy,you
../features\766.npy,you
../features\767.npy,you
../features\768.npy,you
../features\769.npy,please
../features\770.npy,please
../features\771.npy,please
../features\772.npy,please
../features\773.npy,please
../features\774.npy,good
../features\775.npy,good
../features\776.npy,good
../features\777.npy,good
../features\778.npy,good
../features\779.npy,morning
../features\780.npy,morning
../features\781.npy,morning
../features\782.npy,morning
../features\783.npy,morning
../features\784.npy,yes
../features\785.npy,yes
../features\786.npy,yes
../features\787.npy,yes
../features\788.npy,yes
../features\789.npy,no
../features\790.npy,no
../features\791.npy,no
../features\792.npy,no
../features\793.npy,no
../features\794.npy,hello
../features\795.npy,hello
../features\796.npy,hello
../features\797.npy,hello
../features\798.npy,hello
../features\799.npy,thank
../features\800.npy,thank
../features\801.npy,thank
../features\802.npy,thank
../features\803.npy,thank
../features\804.npy,you
../features\805.npy,you
../features\806.npy,you
../features\807.npy,you
../features\808.npy,you
../features\809.npy,please
../features\810.npy,please
../features\811.npy,please
../features\812.npy,please
../features\813.npy,please
../features\814.npy,good
../features\815.npy,good
../features\816.npy,good
../features\817.npy,good
../features\818.npy,good
../features\819.npy,morning
../features\820.npy,morning
../features\821.npy,morning
../features\822.npy,morning
../features\823.npy,morning
../features\824.npy,yes
../features\825.npy,yes
../features\826.npy,yes
../features\827.npy,yes
../features\828.npy,yes
../features\829.npy,yes
../features\830.npy,yes
../features\831.npy,no
../features\832.npy,no
../features\833.npy,no
../features\834.npy,no
../features\835.npy,no
../features\836.npy,no
../features\837.npy,no
../features\838.npy,hello
../features\839.npy,hello
../features\840.npy,hello
../features\841.npy,hello
../features\842.npy,hello
../features\843.npy,hello
../features\844.npy,hello
../features\845.npy,thank
../features\846.npy,thank
../features\847.npy,thank
../features\848.npy,thank
../features\849.npy,thank
../features\850.npy,thank
../features\851.npy,thank
../features\852.npy,you
../features\853.npy,you
../features\854.npy,you
../features\855.npy,you
../features\856.npy,you
../features\857.npy,you
../features\858.npy,you
../features\859.npy,please
../features\860.npy,please
../features\861.npy,please
../features\862.npy,please
../features\863.npy,please
../features\864.npy,please
../features\865.npy,please
../features\866.npy,good
../features\867.npy,good
../features\868.npy,good
../features\869.npy,good
../features\870.npy,good
../features\871.npy,good
../features\872.npy,good
../features\873.npy,morning
../features\874.npy,morning
../features\875.npy,morning
../features\876.npy,morning
../features\877.npy,morning
../features\878.npy,morning
../features\879.npy,morning
../features\880.npy,yes
../features\881.npy,yes
../features\882.npy,yes
../features\883.npy,yes
../features\884.npy,yes
../features\885.npy,yes
../features\886.npy,yes
../features\887.npy,no
../features\888.npy,no
../features\889.npy,no
../features\890.npy,no
../features\891.npy,no
../features\892.npy,no
../features\893.npy,no
../features\894.npy,hello
../features\895.npy,hello
../features\896.npy,hello
../features\897.npy,hello
../features\898.npy,hello
../features\899.npy,hello
../features\900.npy,hello
../features\901.npy,thank
../features\902.npy,thank
../features\903.npy,thank
../features\904.npy,thank
../features\905.npy,thank
../features\906.npy,thank
../features\907.npy,thank
../features\908.npy,you
../features\909.npy,you
../features\910.npy,you
../features\911.npy,you
../features\912.npy,you
../features\913.npy,you
../features\914.npy,you
../features\915.npy,please
../features\916.npy,please
../features\917.npy,please
../features\918.npy,please
../features\919.npy,please
../features\920.npy,please
../features\921.npy,please
../features\922.npy,good
../features\923.npy,good
../features\924.npy,good
../features\925.npy,good
../features\926.npy,good
../features\927.npy,good
../features\928.npy,good
../features\929.npy,morning
../features\930.npy,morning
../features\931.npy,morning
../features\932.npy,morning
../features\933.npy,morning
../features\934.npy,morning
../features\935.npy,morning
../features\936.npy,yes
../features\937.npy,yes
../features\938.npy,yes
../features\939.npy,yes
../features\940.npy,yes
../features\941.npy,yes
../features\942.npy,yes
../features\943.npy,no
../features\944.npy,no
../features\945.npy,no
../features\946.npy,no
../features\947.npy,no
../features\948.npy,no
../features\949.npy,no
../features\950.npy,hello
../features\951.npy,hello
../features\952.npy,hello
../features\953.npy,hello
../features\954.npy,hello
../features\955.npy,hello
../features\956.npy,hello
../features\957.npy,thank
../features\958.npy,thank
../features\959.npy,thank
../features\960.npy,thank
../features\961.npy,thank
../features\962.npy,thank
../features\963.npy,thank
../features\964.npy,you
../features\965.npy,you
../features\966.npy,you
../features\967.npy,you
../features\968.npy,you
../features\969.npy,you
../features\970.npy,you
../features\971.npy,please
../features\972.npy,please
../features\973.npy,please
../features\974.npy,please
../features\975.npy,please
../features\976.npy,please
../features\977.npy,please
../features\978.npy,good
../features\979.npy,good
../features\980.npy,good
../features\981.npy,good
../features\982.npy,good
../features\983.npy,good
../features\984.npy,good
../features\985.npy,morning
../features\986.npy,morning
../features\987.npy,morning
../features\988.npy,morning
../features\989.npy,morning
../features\990.npy,morning
../features\991.npy,morning
../features\992.npy,yes
../features\993.npy,yes
../features\994.npy,yes
../features\995.npy,yes
../features\996.npy,yes
../features\997.npy,yes
../features\998.npy,yes
../features\999.npy,no
../features\1000.npy,no
../features\1001.npy,no
../features\1002.npy,no
../features\1003.npy,no
../features\1004.npy,no
../features\1005.npy,no
../features\1006.npy,hello
../features\1007.npy,hello
../features\1008.npy,hello
../features\1009.npy,hello
../features\1010.npy,hello
../features\1011.npy,hello
../features\1012.npy,hello
../features\1013.npy,thank
../features\1014.npy,thank
../features\1015.npy,thank
../features\1016.npy,thank
../features\1017.npy,thank
../features\1018.npy,thank
../features\1019.npy,thank
../features\1020.npy,you
../features\1021.npy,you
../features\1022.npy,you
../features\1023.npy,you
../features\1024.npy,you
../features\1025.npy,you
../features\1026.npy,you
../features\1027.npy,please
../features\1028.npy,please
../features\1029.npy,please
../features\1030.npy,please
../features\1031.npy,please
../features\1032.npy,please
../features\1033.npy,please
../features\1034.npy,good
../features\1035.npy,good
../features\1036.npy,good
../features\1037.npy,good
../features\1038.npy,good
../features\1039.npy,good
../features\1040.npy,good
../features\1041.npy,morning
../features\1042.npy,morning
../features\1043.npy,morning
../features\1044.npy,morning
../features\1045.npy,morning
../features\1046.npy,morning
../features\1047.npy,morning
../features\1048.npy,yes
../features\1049.npy,yes
../features\1050.npy,yes
../features\1051.npy,yes
../features\1052.npy,yes
../features\1053.npy,yes
../features\1054.npy,yes
../features\1055.npy,no
../features\1056.npy,no
../features\1057.npy,no
../features\1058.npy,no
../features\1059.npy,no
../features\1060.npy,no
../features\1061.npy,no
../features\1062.npy,hello
../features\1063.npy,hello
../features\1064.npy,hello
../features\1065.npy,hello
../features\1066.npy,hello
../features\1067.npy,hello
../features\1068.npy,hello
../features\1069.npy,thank
../features\1070.npy,thank
../features\1071.npy,thank
../features\1072.npy,thank
../features\1073.npy,thank
../features\1074.npy,thank
../features\1075.npy,thank
../features\1076.npy,you
../features\1077.npy,you
../features\1078.npy,you
../features\1079.npy,you
../features\1080.npy,you
../features\1081.npy,you
../features\1082.npy,you
../features\1083.npy,please
../features\1084.npy,please
../features\1085.npy,please
../features\1086.npy,please
../features\1087.npy,please
../features\1088.npy,please
../features\1089.npy,please
../features\1090.npy,good
../features\1091.npy,good
../features\1092.npy,good
../features\1093.npy,good
../features\1094.npy,good
../features\1095.npy,good
../features\1096.npy,good
../features\1097.npy,morning
../features\1098.npy,morning
../features\1099.npy,morning
../features\1100.npy,morning
../features\1101.npy,morning
../features\1102.npy,morning
../features\1103.npy,morning
../features\1104.npy,yes
../features\1105.npy,yes
../features\1106.npy,yes
../features\1107.npy,yes
../features\1108.npy,yes
../features\1109.npy,yes
../features\1110.npy,yes
../features\1111.npy,no
../features\1112.npy,no
../features\1113.npy,no
../features\1114.npy,no
../features\1115.npy,no
../features\1116.npy,no
../features\1117.npy,no
../features\1118.npy,hello
../features\1119.npy,hello
../features\1120.npy,hello
../features\1121.npy,hello
../features\1122.npy,hello
../features\1123.npy,hello
../features\1124.npy,hello
../features\1125.npy,thank
../features\1126.npy,thank
../features\1127.npy,thank
../features\1128.npy,thank
../features\1129.npy,thank
../features\1130.npy,thank
../features\1131.npy,thank
../features\1132.npy,you
../features\1133.npy,you
../features\1134.npy,you
../features\1135.npy,you
../features\1136.npy,you
../features\1137.npy,you
../features\1138.npy,you
../features\1139.npy,please
../features\1140.npy,please
../features\1141.npy,please
../features\1142.npy,please
../features\1143.npy,please
../features\1144.npy,please
../features\1145.npy,please
../features\1146.npy,good
../features\1147.npy,good
../features\1148.npy,good
../features\1149.npy,good
../features\1150.npy,good
../features\1151.npy,good
../features\1152.npy,good
../features\1153.npy,morning
../features\1154.npy,morning
../features\1155.npy,morning
../features\1156.npy,morning
../features\1157.npy,morning
../features\1158.npy,morning
../features\1159.npy,morning
../features\1160.npy,yes
../features\1161.npy,yes
../features\1162.npy,yes
../features\1163.npy,yes
../features\1164.npy,yes
../features\1165.npy,yes
../features\1166.npy,yes
../features\1167.npy,no
../features\1168.npy,no
../features\1169.npy,no
../features\1170.npy,no
../features\1171.npy,no
../features\1172.npy,no
../features\1173.npy,no
../features\1174.npy,hello
../features\1175.npy,hello
../features\1176.npy,hello
../features\1177.npy,hello
../features\1178.npy,hello
../features\1179.npy,hello
../features\1180.npy,hello
../features\1181.npy,thank
../features\1182.npy,thank
../features\1183.npy,thank
../features\1184.npy,thank
../features\1185.npy,thank
../features\1186.npy,thank
../features\1187.npy,thank
../features\1188.npy,you
../features\1189.npy,you
../features\1190.npy,you
../features\1191.npy,you
../features\1192.npy,you
../features\1193.npy,you
../features\1194.npy,you
../features\1195.npy,please
../features\1196.npy,please
../features\1197.npy,please
../features\1198.npy,please
../features\1199.npy,please
../features\1200.npy,please
../features\1201.npy,please
../features\1202.npy,good
../features\1203.npy,good
../features\1204.npy,good
../features\1205.npy,good
../features\1206.npy,good
../features\1207.npy,good
../features\1208.npy,good
../features\1209.npy,morning
../features\1210.npy,morning
../features\1211.npy,morning
../features\1212.npy,morning
../features\1213.npy,morning
../features\1214.npy,morning
../features\1215.npy,morning
../features\1216.npy,yes
../features\1217.npy,yes
../features\1218.npy,yes
../features\1219.npy,yes
../features\1220.npy,yes
../features\1221.npy,yes
../features\1222.npy,yes
../features\1223.npy,no
../features\1224.npy,no
../features\1225.npy,no
../features\1226.npy,no
../features\1227.npy,no
../features\1228.npy,no
../features\1229.npy,no
../features\1230.npy,hello
../features\1231.npy,hello
../features\1232.npy,hello
../features\1233.npy,hello
../features\1234.npy,hello
../features\1235.npy,hello
../features\1236.npy,hello
../features\1237.npy,thank
../features\1238.npy,thank
../features\1239.npy,thank
../features\1240.npy,thank
../features\1241.npy,thank
../features\1242.npy,thank
../features\1243.npy,thank
../features\1244.npy,you
../features\1245.npy,you
../features\1246.npy,you
../features\1247.npy,you
../features\1248.npy,you
../features\1249.npy,you
../features\1250.npy,you
../features\1251.npy,please
../features\1252.npy,please
../features\1253.npy,please
../features\1254.npy,please
../features\1255.npy,please
../features\1256.npy,please
../features\1257.npy,please
../features\1258.npy,good
../features\1259.npy,good
../features\1260.npy,good
../features\1261.npy,good
../features\1262.npy,good
../features\1263.npy,good
../features\1264.npy,good
../features\1265.npy,morning
../features\1266.npy,morning
../features\1267.npy,morning
../features\1268.npy,morning
../features\1269.npy,morning
../features\1270.npy,morning
../features\1271.npy,morning
../features\1272.npy,yes
../features\1273.npy,yes
../features\1274.npy,yes
../features\1275.npy,yes
../features\1276.npy,yes
../features\1277.npy,yes
../features\1278.npy,yes
../features\1279.npy,no
../features\1280.npy,no
../features\1281.npy,no
../features\1282.npy,no
../features\1283.npy,no
../features\1284.npy,no
../features\1285.npy,no
../features\1286.npy,hello
../features\1287.npy,hello
../features\1288.npy,hello
../features\1289.npy,hello
../features\1290.npy,hello
../features\1291.npy,hello
../features\1292.npy,hello
../features\1293.npy,thank
../features\1294.npy,thank
../features\1295.npy,thank
../features\1296.npy,thank
../features\1297.npy,thank
../features\1298.npy,thank
../features\1299.npy,thank
../features\1300.npy,you
../features\1301.npy,you
